	premise	hypothesis	insertion_pair	X_grammar	Y_grammar	insertion_rel	source	context_monotonicity	context	gold_label	model_predictions	composite
40	tom wants to eat some weather .	tom wants to eat some sleet .	 weather,  sleet	m	m	geq	MED	up	Tom wants to eat some x.	non-entailment	2	2
41	tom wants to eat some fruit .	tom wants to eat some sausages .	 fruit,  sausages	m	p	none	MED	up	Tom wants to eat some x.	non-entailment	2	4
42	tom wants to eat some food .	tom wants to eat some meat .	 food,  meat	m	m	geq	MED	up	Tom wants to eat some x.	non-entailment	2	2
44	tom wants to eat some weather .	tom wants to eat some pasta .	 weather,  pasta	m	m	none	MED	up	Tom wants to eat some x.	non-entailment	2	4
0	there is no time to quarrel over such a fruit .	there is no time to quarrel over such a food .	 fruit,  food	m	m	leq	help-test-contexts	down	There is no time to quarrel over such a x .	non-entailment	2	3
2	there is no time to quarrel over such a hospital .	there is no time to quarrel over such a building .	 hospital,  building	s	s	leq	help-test-contexts	down	There is no time to quarrel over such a x .	non-entailment	2	3
3	there is no time to quarrel over such a rap .	there is no time to quarrel over such a food .	 rap,  food	m	m	none	help-test-contexts	down	There is no time to quarrel over such a x .	non-entailment	2	5
4	there is no time to quarrel over such a hound .	there is no time to quarrel over such a dog .	 hound,  dog	s	s	leq	help-test-contexts	down	There is no time to quarrel over such a x .	non-entailment	2	3
5	there is no time to quarrel over such a potato .	there is no time to quarrel over such a vegetable .	 potato,  vegetable	s	s	leq	help-test-contexts	down	There is no time to quarrel over such a x .	non-entailment	2	3
6	there is no time to quarrel over such a watermelon .	there is no time to quarrel over such a fruit .	 watermelon,  fruit	s	s	leq	help-test-contexts	down	There is no time to quarrel over such a x .	non-entailment	2	3
7	there is no time to quarrel over such a rap .	there is no time to quarrel over such a music .	 rap,  music	m	m	leq	help-test-contexts	down	There is no time to quarrel over such a x .	non-entailment	1	3
8	there is no time to quarrel over such a lass .	there is no time to quarrel over such a woman .	 lass,  woman	s	s	leq	help-test-contexts	down	There is no time to quarrel over such a x .	non-entailment	2	3
9	there is no time to quarrel over such a person .	there is no time to quarrel over such a man .	 person,  man	s	s	geq	help-test-contexts	down	There is no time to quarrel over such a x .	entailment	2	1
10	there is no time to quarrel over such a pork .	there is no time to quarrel over such a meat .	 pork,  meat	m	m	leq	help-test-contexts	down	There is no time to quarrel over such a x .	non-entailment	2	3
11	there is no time to quarrel over such a brown sugar .	there is no time to quarrel over such a sugar .	 brown sugar,  sugar	m	m	leq	help-test-contexts	down	There is no time to quarrel over such a x .	non-entailment	2	3
16	there is no time to quarrel over such a plant .	there is no time to quarrel over such a tree .	 plant,  tree	s	s	leq	help-test-contexts	down	There is no time to quarrel over such a x .	non-entailment	2	3
17	there is no time to quarrel over such a apple pie .	there is no time to quarrel over such a pie .	 apple pie,  pie	m	m	leq	help-test-contexts	down	There is no time to quarrel over such a x .	non-entailment	2	3
18	there is no time to quarrel over such a child .	there is no time to quarrel over such a person .	 child,  person	s	s	leq	help-test-contexts	down	There is no time to quarrel over such a x .	non-entailment	2	3
19	there is no time to quarrel over such a palace .	there is no time to quarrel over such a building .	 palace,  building	s	s	leq	help-test-contexts	down	There is no time to quarrel over such a x .	non-entailment	2	3
20	there is no time to quarrel over such a snow .	there is no time to quarrel over such a weather .	 snow,  weather	m	m	leq	help-test-contexts	down	There is no time to quarrel over such a x .	non-entailment	2	3
21	there is no time to quarrel over such a oak .	there is no time to quarrel over such a tree .	 oak,  tree	s	s	leq	help-test-contexts	down	There is no time to quarrel over such a x .	non-entailment	2	3
22	there is no time to quarrel over such a club .	there is no time to quarrel over such a building .	 club,  building	s	s	leq	help-test-contexts	down	There is no time to quarrel over such a x .	non-entailment	2	3
23	there is no time to quarrel over such a building .	there is no time to quarrel over such a vehicle .	 building,  vehicle	s	s	none	help-test-contexts	down	There is no time to quarrel over such a x .	non-entailment	2	5
24	there is no time to quarrel over such a library .	there is no time to quarrel over such a building .	 library,  building	s	s	leq	help-test-contexts	down	There is no time to quarrel over such a x .	non-entailment	2	3
27	there is no time to quarrel over such a wife .	there is no time to quarrel over such a woman .	 wife,  woman	s	s	leq	help-test-contexts	down	There is no time to quarrel over such a x .	non-entailment	2	3
28	there is no time to quarrel over such a rain .	there is no time to quarrel over such a weather .	 rain,  weather	m	m	leq	help-test-contexts	down	There is no time to quarrel over such a x .	non-entailment	2	3
29	there is no time to quarrel over such a pasta .	there is no time to quarrel over such a food .	 pasta,  food	m	m	leq	help-test-contexts	down	There is no time to quarrel over such a x .	non-entailment	1	3
31	there is no time to quarrel over such a girl .	there is no time to quarrel over such a person .	 girl,  person	s	s	leq	help-test-contexts	down	There is no time to quarrel over such a x .	non-entailment	2	3
32	there is no time to quarrel over such a dog .	there is no time to quarrel over such a hound .	 dog,  hound	s	s	leq	help-test-contexts	down	There is no time to quarrel over such a x .	non-entailment	2	3
33	there is no time to quarrel over such a tomato .	there is no time to quarrel over such a vegetable .	 tomato,  vegetable	s	s	leq	help-test-contexts	down	There is no time to quarrel over such a x .	non-entailment	2	3
34	there is no time to quarrel over such a cherry tree .	there is no time to quarrel over such a tree .	 cherry tree,  tree	s	s	leq	help-test-contexts	down	There is no time to quarrel over such a x .	non-entailment	2	3
35	there is no time to quarrel over such a swing .	there is no time to quarrel over such a music .	 swing,  music	m	m	leq	help-test-contexts	down	There is no time to quarrel over such a x .	non-entailment	1	3
37	there is no time to quarrel over such a woman .	there is no time to quarrel over such a adult .	 woman,  adult	s	s	leq	help-test-contexts	down	There is no time to quarrel over such a x .	non-entailment	2	3
38	there is no time to quarrel over such a creature .	there is no time to quarrel over such a vehicle .	 creature,  vehicle	s	s	none	help-test-contexts	down	There is no time to quarrel over such a x .	non-entailment	2	5
39	there is no time to quarrel over such a meat .	there is no time to quarrel over such a fruit .	 meat,  fruit	m	m	none	help-test-contexts	down	There is no time to quarrel over such a x .	non-entailment	2	5
40	there is no time to quarrel over such a sleet .	there is no time to quarrel over such a weather .	 sleet,  weather	m	m	leq	help-test-contexts	down	There is no time to quarrel over such a x .	non-entailment	2	3
42	there is no time to quarrel over such a meat .	there is no time to quarrel over such a food .	 meat,  food	m	m	leq	help-test-contexts	down	There is no time to quarrel over such a x .	non-entailment	2	3
43	there is no time to quarrel over such a court .	there is no time to quarrel over such a building .	 court,  building	s	s	leq	help-test-contexts	down	There is no time to quarrel over such a x .	non-entailment	2	3
44	there is no time to quarrel over such a pasta .	there is no time to quarrel over such a weather .	 pasta,  weather	m	m	none	help-test-contexts	down	There is no time to quarrel over such a x .	non-entailment	2	5
0	there is no time to quarrel over such a food .	there is no time to quarrel over such a fruit .	 food,  fruit	m	m	geq	help-test-contexts	down	There is no time to quarrel over such a x .	entailment	2	1
2	there is no time to quarrel over such a building .	there is no time to quarrel over such a hospital .	 building,  hospital	s	s	geq	help-test-contexts	down	There is no time to quarrel over such a x .	entailment	2	1
3	there is no time to quarrel over such a food .	there is no time to quarrel over such a rap .	 food,  rap	m	m	none	help-test-contexts	down	There is no time to quarrel over such a x .	non-entailment	2	5
4	there is no time to quarrel over such a dog .	there is no time to quarrel over such a hound .	 dog,  hound	s	s	geq	help-test-contexts	down	There is no time to quarrel over such a x .	entailment	2	1
5	there is no time to quarrel over such a vegetable .	there is no time to quarrel over such a potato .	 vegetable,  potato	s	s	geq	help-test-contexts	down	There is no time to quarrel over such a x .	entailment	2	1
6	there is no time to quarrel over such a fruit .	there is no time to quarrel over such a watermelon .	 fruit,  watermelon	s	s	geq	help-test-contexts	down	There is no time to quarrel over such a x .	entailment	2	1
7	there is no time to quarrel over such a music .	there is no time to quarrel over such a rap .	 music,  rap	m	m	geq	help-test-contexts	down	There is no time to quarrel over such a x .	entailment	2	1
8	there is no time to quarrel over such a woman .	there is no time to quarrel over such a lass .	 woman,  lass	s	s	geq	help-test-contexts	down	There is no time to quarrel over such a x .	entailment	2	1
9	there is no time to quarrel over such a man .	there is no time to quarrel over such a person .	 man,  person	s	s	leq	help-test-contexts	down	There is no time to quarrel over such a x .	non-entailment	2	3
10	there is no time to quarrel over such a meat .	there is no time to quarrel over such a pork .	 meat,  pork	m	m	geq	help-test-contexts	down	There is no time to quarrel over such a x .	entailment	2	1
11	there is no time to quarrel over such a sugar .	there is no time to quarrel over such a brown sugar .	 sugar,  brown sugar	m	m	geq	help-test-contexts	down	There is no time to quarrel over such a x .	entailment	2	1
16	there is no time to quarrel over such a tree .	there is no time to quarrel over such a plant .	 tree,  plant	s	s	geq	help-test-contexts	down	There is no time to quarrel over such a x .	entailment	2	1
17	there is no time to quarrel over such a pie .	there is no time to quarrel over such a apple pie .	 pie,  apple pie	m	m	geq	help-test-contexts	down	There is no time to quarrel over such a x .	entailment	2	1
18	there is no time to quarrel over such a person .	there is no time to quarrel over such a child .	 person,  child	s	s	geq	help-test-contexts	down	There is no time to quarrel over such a x .	entailment	2	1
19	there is no time to quarrel over such a building .	there is no time to quarrel over such a palace .	 building,  palace	s	s	geq	help-test-contexts	down	There is no time to quarrel over such a x .	entailment	2	1
20	there is no time to quarrel over such a weather .	there is no time to quarrel over such a snow .	 weather,  snow	m	m	geq	help-test-contexts	down	There is no time to quarrel over such a x .	entailment	2	1
21	there is no time to quarrel over such a tree .	there is no time to quarrel over such a oak .	 tree,  oak	s	s	geq	help-test-contexts	down	There is no time to quarrel over such a x .	entailment	2	1
22	there is no time to quarrel over such a building .	there is no time to quarrel over such a club .	 building,  club	s	s	geq	help-test-contexts	down	There is no time to quarrel over such a x .	entailment	2	1
23	there is no time to quarrel over such a vehicle .	there is no time to quarrel over such a building .	 vehicle,  building	s	s	none	help-test-contexts	down	There is no time to quarrel over such a x .	non-entailment	2	5
24	there is no time to quarrel over such a building .	there is no time to quarrel over such a library .	 building,  library	s	s	geq	help-test-contexts	down	There is no time to quarrel over such a x .	entailment	2	1
27	there is no time to quarrel over such a woman .	there is no time to quarrel over such a wife .	 woman,  wife	s	s	geq	help-test-contexts	down	There is no time to quarrel over such a x .	entailment	2	1
28	there is no time to quarrel over such a weather .	there is no time to quarrel over such a rain .	 weather,  rain	m	m	geq	help-test-contexts	down	There is no time to quarrel over such a x .	entailment	2	1
29	there is no time to quarrel over such a food .	there is no time to quarrel over such a pasta .	 food,  pasta	m	m	geq	help-test-contexts	down	There is no time to quarrel over such a x .	entailment	2	1
31	there is no time to quarrel over such a person .	there is no time to quarrel over such a girl .	 person,  girl	s	s	geq	help-test-contexts	down	There is no time to quarrel over such a x .	entailment	2	1
32	there is no time to quarrel over such a hound .	there is no time to quarrel over such a dog .	 hound,  dog	s	s	geq	help-test-contexts	down	There is no time to quarrel over such a x .	entailment	2	1
33	there is no time to quarrel over such a vegetable .	there is no time to quarrel over such a tomato .	 vegetable,  tomato	s	s	geq	help-test-contexts	down	There is no time to quarrel over such a x .	entailment	2	1
34	there is no time to quarrel over such a tree .	there is no time to quarrel over such a cherry tree .	 tree,  cherry tree	s	s	geq	help-test-contexts	down	There is no time to quarrel over such a x .	entailment	2	1
35	there is no time to quarrel over such a music .	there is no time to quarrel over such a swing .	 music,  swing	m	m	geq	help-test-contexts	down	There is no time to quarrel over such a x .	entailment	2	1
37	there is no time to quarrel over such a adult .	there is no time to quarrel over such a woman .	 adult,  woman	s	s	geq	help-test-contexts	down	There is no time to quarrel over such a x .	entailment	2	1
38	there is no time to quarrel over such a vehicle .	there is no time to quarrel over such a creature .	 vehicle,  creature	s	s	none	help-test-contexts	down	There is no time to quarrel over such a x .	non-entailment	2	5
39	there is no time to quarrel over such a fruit .	there is no time to quarrel over such a meat .	 fruit,  meat	m	m	none	help-test-contexts	down	There is no time to quarrel over such a x .	non-entailment	2	5
40	there is no time to quarrel over such a weather .	there is no time to quarrel over such a sleet .	 weather,  sleet	m	m	geq	help-test-contexts	down	There is no time to quarrel over such a x .	entailment	2	1
42	there is no time to quarrel over such a food .	there is no time to quarrel over such a meat .	 food,  meat	m	m	geq	help-test-contexts	down	There is no time to quarrel over such a x .	entailment	2	1
43	there is no time to quarrel over such a building .	there is no time to quarrel over such a court .	 building,  court	s	s	geq	help-test-contexts	down	There is no time to quarrel over such a x .	entailment	2	1
44	there is no time to quarrel over such a weather .	there is no time to quarrel over such a pasta .	 weather,  pasta	m	m	none	help-test-contexts	down	There is no time to quarrel over such a x .	non-entailment	2	5
2	a man can not find a hospital	a man can not find a building	 hospital,  building	s	s	leq	help-test-contexts	down	A man can not find a x	non-entailment	2	3
4	a man can not find a hound	a man can not find a dog	 hound,  dog	s	s	leq	help-test-contexts	down	A man can not find a x	non-entailment	2	3
5	a man can not find a potato	a man can not find a vegetable	 potato,  vegetable	s	s	leq	help-test-contexts	down	A man can not find a x	non-entailment	2	3
6	a man can not find a watermelon	a man can not find a fruit	 watermelon,  fruit	s	s	leq	help-test-contexts	down	A man can not find a x	non-entailment	2	3
8	a man can not find a lass	a man can not find a woman	 lass,  woman	s	s	leq	help-test-contexts	down	A man can not find a x	non-entailment	2	3
9	a man can not find a person	a man can not find a man	 person,  man	s	s	geq	help-test-contexts	down	A man can not find a x	entailment	2	1
16	a man can not find a plant	a man can not find a tree	 plant,  tree	s	s	leq	help-test-contexts	down	A man can not find a x	non-entailment	2	3
18	a man can not find a child	a man can not find a person	 child,  person	s	s	leq	help-test-contexts	down	A man can not find a x	non-entailment	2	3
19	a man can not find a palace	a man can not find a building	 palace,  building	s	s	leq	help-test-contexts	down	A man can not find a x	non-entailment	2	3
21	a man can not find a oak	a man can not find a tree	 oak,  tree	s	s	leq	help-test-contexts	down	A man can not find a x	non-entailment	2	3
22	a man can not find a club	a man can not find a building	 club,  building	s	s	leq	help-test-contexts	down	A man can not find a x	non-entailment	2	3
23	a man can not find a building	a man can not find a vehicle	 building,  vehicle	s	s	none	help-test-contexts	down	A man can not find a x	non-entailment	2	5
24	a man can not find a library	a man can not find a building	 library,  building	s	s	leq	help-test-contexts	down	A man can not find a x	non-entailment	2	3
27	a man can not find a wife	a man can not find a woman	 wife,  woman	s	s	leq	help-test-contexts	down	A man can not find a x	non-entailment	2	3
31	a man can not find a girl	a man can not find a person	 girl,  person	s	s	leq	help-test-contexts	down	A man can not find a x	non-entailment	2	3
32	a man can not find a dog	a man can not find a hound	 dog,  hound	s	s	leq	help-test-contexts	down	A man can not find a x	non-entailment	2	3
33	a man can not find a tomato	a man can not find a vegetable	 tomato,  vegetable	s	s	leq	help-test-contexts	down	A man can not find a x	non-entailment	2	3
34	a man can not find a cherry tree	a man can not find a tree	 cherry tree,  tree	s	s	leq	help-test-contexts	down	A man can not find a x	non-entailment	1	3
37	a man can not find a woman	a man can not find a adult	 woman,  adult	s	s	leq	help-test-contexts	down	A man can not find a x	non-entailment	2	3
38	a man can not find a creature	a man can not find a vehicle	 creature,  vehicle	s	s	none	help-test-contexts	down	A man can not find a x	non-entailment	2	5
43	a man can not find a court	a man can not find a building	 court,  building	s	s	leq	help-test-contexts	down	A man can not find a x	non-entailment	2	3
2	a man can not find a building	a man can not find a hospital	 building,  hospital	s	s	geq	help-test-contexts	down	A man can not find a x	entailment	2	1
4	a man can not find a dog	a man can not find a hound	 dog,  hound	s	s	geq	help-test-contexts	down	A man can not find a x	entailment	2	1
5	a man can not find a vegetable	a man can not find a potato	 vegetable,  potato	s	s	geq	help-test-contexts	down	A man can not find a x	entailment	2	1
6	a man can not find a fruit	a man can not find a watermelon	 fruit,  watermelon	s	s	geq	help-test-contexts	down	A man can not find a x	entailment	2	1
8	a man can not find a woman	a man can not find a lass	 woman,  lass	s	s	geq	help-test-contexts	down	A man can not find a x	entailment	2	1
9	a man can not find a man	a man can not find a person	 man,  person	s	s	leq	help-test-contexts	down	A man can not find a x	non-entailment	2	3
16	a man can not find a tree	a man can not find a plant	 tree,  plant	s	s	geq	help-test-contexts	down	A man can not find a x	entailment	2	1
18	a man can not find a person	a man can not find a child	 person,  child	s	s	geq	help-test-contexts	down	A man can not find a x	entailment	2	1
19	a man can not find a building	a man can not find a palace	 building,  palace	s	s	geq	help-test-contexts	down	A man can not find a x	entailment	2	1
21	a man can not find a tree	a man can not find a oak	 tree,  oak	s	s	geq	help-test-contexts	down	A man can not find a x	entailment	2	1
22	a man can not find a building	a man can not find a club	 building,  club	s	s	geq	help-test-contexts	down	A man can not find a x	entailment	2	1
23	a man can not find a vehicle	a man can not find a building	 vehicle,  building	s	s	none	help-test-contexts	down	A man can not find a x	non-entailment	2	5
24	a man can not find a building	a man can not find a library	 building,  library	s	s	geq	help-test-contexts	down	A man can not find a x	entailment	2	1
27	a man can not find a woman	a man can not find a wife	 woman,  wife	s	s	geq	help-test-contexts	down	A man can not find a x	entailment	2	1
31	a man can not find a person	a man can not find a girl	 person,  girl	s	s	geq	help-test-contexts	down	A man can not find a x	entailment	2	1
32	a man can not find a hound	a man can not find a dog	 hound,  dog	s	s	geq	help-test-contexts	down	A man can not find a x	entailment	2	1
33	a man can not find a vegetable	a man can not find a tomato	 vegetable,  tomato	s	s	geq	help-test-contexts	down	A man can not find a x	entailment	2	1
34	a man can not find a tree	a man can not find a cherry tree	 tree,  cherry tree	s	s	geq	help-test-contexts	down	A man can not find a x	entailment	2	1
37	a man can not find a adult	a man can not find a woman	 adult,  woman	s	s	geq	help-test-contexts	down	A man can not find a x	entailment	2	1
38	a man can not find a vehicle	a man can not find a creature	 vehicle,  creature	s	s	none	help-test-contexts	down	A man can not find a x	non-entailment	2	5
43	a man can not find a building	a man can not find a court	 building,  court	s	s	geq	help-test-contexts	down	A man can not find a x	entailment	2	1
0	for all his fruit , he is unhappy .	for all his food , he is unhappy .	 fruit,  food	m	m	leq	help-test-contexts	down	For all his x , he is unhappy .	non-entailment	2	3
1	for all his oysters , he is unhappy .	for all his seafood , he is unhappy .	 oysters,  seafood	p	m	leq	help-test-contexts	down	For all his x , he is unhappy .	non-entailment	1	3
3	for all his rap , he is unhappy .	for all his food , he is unhappy .	 rap,  food	m	m	none	help-test-contexts	down	For all his x , he is unhappy .	non-entailment	2	5
7	for all his rap , he is unhappy .	for all his music , he is unhappy .	 rap,  music	m	m	leq	help-test-contexts	down	For all his x , he is unhappy .	non-entailment	1	3
10	for all his pork , he is unhappy .	for all his meat , he is unhappy .	 pork,  meat	m	m	leq	help-test-contexts	down	For all his x , he is unhappy .	non-entailment	1	3
11	for all his brown sugar , he is unhappy .	for all his sugar , he is unhappy .	 brown sugar,  sugar	m	m	leq	help-test-contexts	down	For all his x , he is unhappy .	non-entailment	1	3
12	for all his mittens , he is unhappy .	for all his food , he is unhappy .	 mittens,  food	p	m	none	help-test-contexts	down	For all his x , he is unhappy .	non-entailment	2	5
13	for all his peaches , he is unhappy .	for all his clothes , he is unhappy .	 peaches,  clothes	p	p	none	help-test-contexts	down	For all his x , he is unhappy .	non-entailment	2	5
14	for all his women , he is unhappy .	for all his people , he is unhappy .	 women,  people	p	p	leq	help-test-contexts	down	For all his x , he is unhappy .	non-entailment	2	3
15	for all his hats , he is unhappy .	for all his food , he is unhappy .	 hats,  food	p	m	none	help-test-contexts	down	For all his x , he is unhappy .	non-entailment	2	5
17	for all his apple pie , he is unhappy .	for all his pie , he is unhappy .	 apple pie,  pie	m	m	leq	help-test-contexts	down	For all his x , he is unhappy .	non-entailment	1	3
20	for all his snow , he is unhappy .	for all his weather , he is unhappy .	 snow,  weather	m	m	leq	help-test-contexts	down	For all his x , he is unhappy .	non-entailment	2	3
25	for all his files , he is unhappy .	for all his things , he is unhappy .	 files,  things	p	p	leq	help-test-contexts	down	For all his x , he is unhappy .	non-entailment	2	3
26	for all his shoes , he is unhappy .	for all his clothes , he is unhappy .	 shoes,  clothes	p	p	leq	help-test-contexts	down	For all his x , he is unhappy .	non-entailment	2	3
28	for all his rain , he is unhappy .	for all his weather , he is unhappy .	 rain,  weather	m	m	leq	help-test-contexts	down	For all his x , he is unhappy .	non-entailment	2	3
29	for all his pasta , he is unhappy .	for all his food , he is unhappy .	 pasta,  food	m	m	leq	help-test-contexts	down	For all his x , he is unhappy .	non-entailment	1	3
30	for all his apples , he is unhappy .	for all his fruit , he is unhappy .	 apples,  fruit	p	m	leq	help-test-contexts	down	For all his x , he is unhappy .	non-entailment	1	3
35	for all his swing , he is unhappy .	for all his music , he is unhappy .	 swing,  music	m	m	leq	help-test-contexts	down	For all his x , he is unhappy .	non-entailment	2	3
36	for all his first - year students , he is unhappy .	for all his students , he is unhappy .	 first-year students,  students	p	p	leq	help-test-contexts	down	For all his x , he is unhappy .	non-entailment	1	3
39	for all his meat , he is unhappy .	for all his fruit , he is unhappy .	 meat,  fruit	m	m	none	help-test-contexts	down	For all his x , he is unhappy .	non-entailment	2	5
40	for all his sleet , he is unhappy .	for all his weather , he is unhappy .	 sleet,  weather	m	m	leq	help-test-contexts	down	For all his x , he is unhappy .	non-entailment	2	3
41	for all his sausages , he is unhappy .	for all his fruit , he is unhappy .	 sausages,  fruit	p	m	none	help-test-contexts	down	For all his x , he is unhappy .	non-entailment	2	5
42	for all his meat , he is unhappy .	for all his food , he is unhappy .	 meat,  food	m	m	leq	help-test-contexts	down	For all his x , he is unhappy .	non-entailment	2	3
44	for all his pasta , he is unhappy .	for all his weather , he is unhappy .	 pasta,  weather	m	m	none	help-test-contexts	down	For all his x , he is unhappy .	non-entailment	2	5
0	for all his food , he is unhappy .	for all his fruit , he is unhappy .	 food,  fruit	m	m	geq	help-test-contexts	down	For all his x , he is unhappy .	entailment	2	1
1	for all his seafood , he is unhappy .	for all his oysters , he is unhappy .	 seafood,  oysters	m	p	geq	help-test-contexts	down	For all his x , he is unhappy .	entailment	1	1
3	for all his food , he is unhappy .	for all his rap , he is unhappy .	 food,  rap	m	m	none	help-test-contexts	down	For all his x , he is unhappy .	non-entailment	2	5
7	for all his music , he is unhappy .	for all his rap , he is unhappy .	 music,  rap	m	m	geq	help-test-contexts	down	For all his x , he is unhappy .	entailment	1	1
10	for all his meat , he is unhappy .	for all his pork , he is unhappy .	 meat,  pork	m	m	geq	help-test-contexts	down	For all his x , he is unhappy .	entailment	2	1
11	for all his sugar , he is unhappy .	for all his brown sugar , he is unhappy .	 sugar,  brown sugar	m	m	geq	help-test-contexts	down	For all his x , he is unhappy .	entailment	1	1
12	for all his food , he is unhappy .	for all his mittens , he is unhappy .	 food,  mittens	m	p	none	help-test-contexts	down	For all his x , he is unhappy .	non-entailment	2	5
13	for all his clothes , he is unhappy .	for all his peaches , he is unhappy .	 clothes,  peaches	p	p	none	help-test-contexts	down	For all his x , he is unhappy .	non-entailment	2	5
14	for all his people , he is unhappy .	for all his women , he is unhappy .	 people,  women	p	p	geq	help-test-contexts	down	For all his x , he is unhappy .	entailment	2	1
15	for all his food , he is unhappy .	for all his hats , he is unhappy .	 food,  hats	m	p	none	help-test-contexts	down	For all his x , he is unhappy .	non-entailment	2	5
17	for all his pie , he is unhappy .	for all his apple pie , he is unhappy .	 pie,  apple pie	m	m	geq	help-test-contexts	down	For all his x , he is unhappy .	entailment	1	1
20	for all his weather , he is unhappy .	for all his snow , he is unhappy .	 weather,  snow	m	m	geq	help-test-contexts	down	For all his x , he is unhappy .	entailment	2	1
25	for all his things , he is unhappy .	for all his files , he is unhappy .	 things,  files	p	p	geq	help-test-contexts	down	For all his x , he is unhappy .	entailment	2	1
26	for all his clothes , he is unhappy .	for all his shoes , he is unhappy .	 clothes,  shoes	p	p	geq	help-test-contexts	down	For all his x , he is unhappy .	entailment	2	1
28	for all his weather , he is unhappy .	for all his rain , he is unhappy .	 weather,  rain	m	m	geq	help-test-contexts	down	For all his x , he is unhappy .	entailment	2	1
29	for all his food , he is unhappy .	for all his pasta , he is unhappy .	 food,  pasta	m	m	geq	help-test-contexts	down	For all his x , he is unhappy .	entailment	1	1
30	for all his fruit , he is unhappy .	for all his apples , he is unhappy .	 fruit,  apples	m	p	geq	help-test-contexts	down	For all his x , he is unhappy .	entailment	2	1
35	for all his music , he is unhappy .	for all his swing , he is unhappy .	 music,  swing	m	m	geq	help-test-contexts	down	For all his x , he is unhappy .	entailment	1	1
36	for all his students , he is unhappy .	for all his first - year students , he is unhappy .	 students,  first-year students	p	p	geq	help-test-contexts	down	For all his x , he is unhappy .	entailment	2	1
39	for all his fruit , he is unhappy .	for all his meat , he is unhappy .	 fruit,  meat	m	m	none	help-test-contexts	down	For all his x , he is unhappy .	non-entailment	2	5
40	for all his weather , he is unhappy .	for all his sleet , he is unhappy .	 weather,  sleet	m	m	geq	help-test-contexts	down	For all his x , he is unhappy .	entailment	2	1
41	for all his fruit , he is unhappy .	for all his sausages , he is unhappy .	 fruit,  sausages	m	p	none	help-test-contexts	down	For all his x , he is unhappy .	non-entailment	2	5
42	for all his food , he is unhappy .	for all his meat , he is unhappy .	 food,  meat	m	m	geq	help-test-contexts	down	For all his x , he is unhappy .	entailment	2	1
44	for all his weather , he is unhappy .	for all his pasta , he is unhappy .	 weather,  pasta	m	m	none	help-test-contexts	down	For all his x , he is unhappy .	non-entailment	1	5
2	a boy is holding a hospital with trees in the background .	a boy is holding a building with trees in the background .	 hospital,  building	s	s	leq	help-test-contexts	up	A boy is holding a x with trees in the background.	entailment	2	0
4	a boy is holding a hound with trees in the background .	a boy is holding a dog with trees in the background .	 hound,  dog	s	s	leq	help-test-contexts	up	A boy is holding a x with trees in the background.	entailment	2	0
5	a boy is holding a potato with trees in the background .	a boy is holding a vegetable with trees in the background .	 potato,  vegetable	s	s	leq	help-test-contexts	up	A boy is holding a x with trees in the background.	entailment	2	0
6	a boy is holding a watermelon with trees in the background .	a boy is holding a fruit with trees in the background .	 watermelon,  fruit	s	s	leq	help-test-contexts	up	A boy is holding a x with trees in the background.	entailment	2	0
8	a boy is holding a lass with trees in the background .	a boy is holding a woman with trees in the background .	 lass,  woman	s	s	leq	help-test-contexts	up	A boy is holding a x with trees in the background.	entailment	2	0
9	a boy is holding a person with trees in the background .	a boy is holding a man with trees in the background .	 person,  man	s	s	geq	help-test-contexts	up	A boy is holding a x with trees in the background.	non-entailment	2	2
16	a boy is holding a plant with trees in the background .	a boy is holding a tree with trees in the background .	 plant,  tree	s	s	leq	help-test-contexts	up	A boy is holding a x with trees in the background.	entailment	2	0
18	a boy is holding a child with trees in the background .	a boy is holding a person with trees in the background .	 child,  person	s	s	leq	help-test-contexts	up	A boy is holding a x with trees in the background.	entailment	1	0
19	a boy is holding a palace with trees in the background .	a boy is holding a building with trees in the background .	 palace,  building	s	s	leq	help-test-contexts	up	A boy is holding a x with trees in the background.	entailment	1	0
21	a boy is holding a oak with trees in the background .	a boy is holding a tree with trees in the background .	 oak,  tree	s	s	leq	help-test-contexts	up	A boy is holding a x with trees in the background.	entailment	1	0
22	a boy is holding a club with trees in the background .	a boy is holding a building with trees in the background .	 club,  building	s	s	leq	help-test-contexts	up	A boy is holding a x with trees in the background.	entailment	2	0
23	a boy is holding a building with trees in the background .	a boy is holding a vehicle with trees in the background .	 building,  vehicle	s	s	none	help-test-contexts	up	A boy is holding a x with trees in the background.	non-entailment	2	4
24	a boy is holding a library with trees in the background .	a boy is holding a building with trees in the background .	 library,  building	s	s	leq	help-test-contexts	up	A boy is holding a x with trees in the background.	entailment	1	0
27	a boy is holding a wife with trees in the background .	a boy is holding a woman with trees in the background .	 wife,  woman	s	s	leq	help-test-contexts	up	A boy is holding a x with trees in the background.	entailment	1	0
31	a boy is holding a girl with trees in the background .	a boy is holding a person with trees in the background .	 girl,  person	s	s	leq	help-test-contexts	up	A boy is holding a x with trees in the background.	entailment	1	0
32	a boy is holding a dog with trees in the background .	a boy is holding a hound with trees in the background .	 dog,  hound	s	s	leq	help-test-contexts	up	A boy is holding a x with trees in the background.	entailment	2	0
33	a boy is holding a tomato with trees in the background .	a boy is holding a vegetable with trees in the background .	 tomato,  vegetable	s	s	leq	help-test-contexts	up	A boy is holding a x with trees in the background.	entailment	1	0
